Name,Pre Bubble,Bubble
Buddy Hield,-0.79,-6.88
Dennis Shroeder,3.9,0.56
Danilo Gallinari,3.6,0.85
Montrezl Harrel,3.98,-5.23
Evan Fournier,-1.98,-1.3
Fred Vanvleet,3.98,1.23
Gordon Hayward,6.22,4.92
Jaren Jackson Jr,-2.09,3
Marcus Morris Sr,-0.6,7.95
Malcolm Brogdon,1.96,-3.4
Dillon Brooks,-0.55,-0.63
Gorgan Dragic,2.02,6.14
Norman Powell,4.09,-0.32
Tim Hardaway Jr,5.43,-9.57
Hassan Whiteside,1.54,-0.18
Carmelo Anthony,0.06,-3.92
Serge Ibaka,2.48,0.38
Kendrick Nunn 1.73,1.73,-2.35
JJ Reddick,0.24,-5.67
Jordan Clarkson,-0.22,-1.13
Bogdan Bogdanovic,-1.06,1.5
Alec Burks,-4.63,2.91
Eric Bledsoe,8.14,-0.64
Jonas Valancunis,0.09,-0.13
Terrence Ross,-1.06,0.55
Harrison Barnes,-0.84,-8.75
Joe Harris,1.75,-3.5
Aaron Gordon,-1.66,11.67
Josh Richardson,2.35,-1.27
Tyler Herro,-0.4,0
Duncan Robinson,4.85,2.1
Ricky Rubio,2.32,2
Marcus Smart,4.55,5.42
Kyle Kuzma,3.11,1.04
Robert Covington,-0.15,0.55
Seth Curry,3.2,-0.91